Title,Links,Categories,Images,References,Length,Quality,Theme
Hammurabi,1103,45,44,97,15484,4,People
Hatshepsut,755,49,18,97,33266,3,People
Ramesses II,662,43,25,119,32507,2,People
Cyrus the Great,515,61,32,213,47616,2,People
Alexander the Great,1910,71,75,401,89053,4,People
Ashoka,780,46,57,149,84837,3,People
Qin Shi Huang,400,57,23,129,39510,3,People
Julius Caesar,840,93,41,358,53213,3,People
Augustus,867,65,48,145,84168,5,People
Charlemagne,1099,108,58,183,83252,2,People
Genghis Khan,611,82,38,173,56848,3,People
Mansa Musa,133,33,10,67,17536,2,People
Joan of Arc,643,84,32,937,45538,5,People
Suleiman the Magnificent,403,48,31,91,37090,3,People
Akbar,646,61,32,167,91274,3,People
Elizabeth I,615,81,42,138,57770,5,People
Catherine the Great,761,100,50,139,84596,2,People
George Washington,1318,113,76,289,110697,4,People
Napoleon,1673,112,90,290,116451,4,People
Simón Bolívar,821,71,28,68,49455,3,People
Abraham Lincoln,2047,97,63,297,91888,4,People
Mahatma Gandhi,2038,133,56,580,124934,4,People
Joseph Stalin,1366,127,62,210,130198,4,People
Adolf Hitler,1680,125,60,144,80697,4,People
Mao Zedong,1386,115,58,305,96649,3,People
Nelson Mandela,1155,116,42,247,97313,5,People
Abraham,967,50,31,157,33875,2,People
Moses,1039,75,31,171,53246,3,People
Gautama Buddha,921,79,88,221,87167,3,People
Jesus,1851,80,62,530,84700,5,People
Paul the Apostle,1798,77,44,433,68768,3,People
Muhammad,1444,77,36,280,67383,4,People
Adi Shankara,776,89,22,150,52761,4,People
Martin Luther,1203,108,65,145,77429,3,People
Marco Polo,385,77,30,146,52393,4,People
Zheng He,343,70,28,96,34481,2,People
Christopher Columbus,855,89,34,385,64638,3,People
Vasco da Gama,481,63,31,64,37251,2,People
Ferdinand Magellan,323,66,21,95,23410,2,People
James Cook,811,87,22,221,45792,3,People
Roald Amundsen,609,82,31,114,21027,2,People
Confucius,1119,111,31,239,41083,2,People
Laozi,874,71,20,85,17643,2,People
Herodotus,562,66,12,99,15874,2,People
Socrates,1166,101,27,107,53327,4,People
Plato,2271,126,49,232,79938,3,People
Aristotle,2232,136,67,276,65825,4,People
Cicero,1400,92,21,159,51670,3,People
Thomas Aquinas,1717,132,37,190,73542,2,People
Ibn Khaldun,862,74,18,114,34843,2,People
Niccolò Machiavelli,650,74,21,172,49950,4,People
René Descartes,1620,153,34,244,46941,2,People
John Locke,1754,89,23,117,38770,2,People
Adam Smith,1439,95,30,197,57018,3,People
Immanuel Kant,1984,147,31,287,89715,3,People
Mary Wollstonecraft,981,92,42,89,60151,5,People
Karl Marx,1619,152,48,286,83138,4,People
Friedrich Nietzsche,1645,142,35,355,87095,3,People
Sigmund Freud,1141,91,32,274,107760,3,People
Homer,1013,66,22,131,22541,2,People
Virgil,696,70,20,113,30235,2,People
Li Bai,409,62,21,79,37070,3,People
Murasaki Shikibu,180,63,34,42,36694,5,People
Rumi,1553,90,26,147,38630,3,People
Dante Alighieri,947,84,29,156,31453,2,People
Miguel de Cervantes,232,89,16,99,23688,2,People
William Shakespeare,2048,76,61,162,42401,5,People
Voltaire,1280,141,40,187,65517,3,People
Leo Tolstoy,648,137,37,151,39097,2,People
Rabindranath Tagore,1267,117,57,184,46078,3,People
Leonardo da Vinci,816,110,76,194,57125,4,People
Michelangelo,399,76,61,91,43597,3,People
Rembrandt,549,59,101,173,49715,4,People
Hokusai,293,48,31,60,18020,3,People
Pablo Picasso,928,80,54,158,50413,3,People
Frida Kahlo,899,81,30,185,63699,3,People
Johann Sebastian Bach,1041,100,75,368,67621,3,People
Wolfgang Amadeus Mozart,430,99,34,143,37761,3,People
Ludwig van Beethoven,816,95,43,108,60854,3,People
Louis Armstrong,778,107,35,171,56434,2,People
The Beatles,2141,78,48,264,94596,5,People
Michael Jackson,2040,131,44,579,83095,5,People
Hippocrates,648,55,25,108,20369,2,People
Avicenna,1401,112,24,157,47805,3,People
Shen Kuo,609,101,42,38,57684,5,People
Johannes Gutenberg,195,68,19,122,22688,2,People
Nicolaus Copernicus,583,96,45,203,77250,3,People
Galileo Galilei,754,96,42,185,64203,2,People
Isaac Newton,1350,133,38,314,51567,4,People
Carl Linnaeus,714,108,44,178,54295,4,People
Antoine Lavoisier,780,71,31,144,44513,3,People
Michael Faraday,464,81,33,143,30136,3,People
Charles Darwin,1234,111,40,387,61649,5,People
Florence Nightingale,475,90,41,282,49157,3,People
Louis Pasteur,364,85,24,287,45609,3,People
James Clerk Maxwell,350,88,27,233,37649,4,People
Dmitri Mendeleev,330,82,24,97,21472,2,People
Thomas Edison,1074,104,52,303,59069,2,People
Nikola Tesla,865,109,55,229,73512,4,People
Marie Curie,866,114,27,259,43343,4,People
Albert Einstein,1218,137,60,520,75702,4,People
Archimedes,952,73,33,295,39037,5,People
Euclid,736,63,19,75,14024,3,People
Muhammad ibn Musa al-Khwarizmi,622,69,24,148,22921,3,People
Leonhard Euler,821,89,38,275,35707,5,People
Carl Friedrich Gauss,694,99,32,148,36572,2,People
Emmy Noether,408,64,26,196,78301,5,People
Kurt Gödel,1213,81,14,101,26509,3,People
Alan Turing,484,105,27,324,53347,4,People
Charlie Chaplin,979,108,42,243,80764,5,People
Walt Disney,928,118,31,207,44580,5,People
Henry Ford,627,100,31,151,54330,2,People
History,732,34,21,113,44965,3,History
Human history,1103,17,55,331,68223,2,History
Civilization,691,27,34,161,43299,2,History
Archaeology,795,33,34,291,57578,2,History
History of Africa,1645,32,77,266,165877,3,History
History of Asia,750,19,37,45,81328,2,History
History of East Asia,677,15,33,54,60157,2,History
History of India,1850,33,162,295,117903,3,History
History of the Middle East,755,21,37,48,56810,2,History
History of Europe,1691,15,79,210,159481,3,History
History of North America,442,14,12,42,25322,2,History
History of Oceania,519,7,43,103,52205,2,History
History of South America,601,26,36,208,46135,2,History
History of science,1332,18,40,228,97872,2,History
History of art,2225,20,284,184,96817,3,History
History of agriculture,812,14,34,302,48839,4,History
History of architecture,1854,25,267,75,77012,2,History
History of film,1151,37,26,224,94867,2,History
History of literature,659,18,7,53,49841,1,History
History of mathematics,1022,14,40,96,70595,3,History
History of medicine,962,30,60,326,103887,2,History
History of music,1242,17,44,158,46630,2,History
History of technology,1384,27,30,93,49357,2,History
Military history,1042,25,21,79,52591,2,History
Prehistory,613,17,15,86,24529,2,History
Stone Age,682,20,24,78,52339,2,History
Early human migrations,430,19,17,379,33428,2,History
Neolithic Revolution,938,21,32,182,42366,2,History
Ancient history,672,21,36,53,49295,2,History
Bronze Age,657,20,28,148,53900,2,History
Ancient Egypt,964,30,67,155,78842,5,History
Indus Valley Civilisation,682,38,42,314,64368,3,History
Mesopotamia,668,53,47,74,44464,2,History
Sumer,1559,41,87,128,49527,3,History
Phoenicia,800,52,32,110,47012,2,History
Iron Age,385,25,9,70,26801,2,History
Ancient Greece,1231,20,35,42,53197,2,History
Ancient Rome,2216,41,67,262,122993,2,History
Achaemenid Empire,2129,49,117,230,80550,2,History
Gupta Empire,704,29,64,84,28494,2,History
Han dynasty,1092,33,80,62,72127,5,History
Silk Road,918,63,60,177,60602,2,History
Pre-Columbian era,1401,17,30,102,34811,3,History
Andean civilizations,378,7,17,30,17706,2,History
Mesoamerica,1759,29,71,78,52421,3,History
Maya civilization,769,26,64,304,97727,5,History
Post-classical history,692,10,47,173,56576,2,History
Aztecs,615,35,70,146,92728,4,History
Inca Empire,851,36,30,126,54892,2,History
Islamic Golden Age,1038,37,25,219,53286,2,History
Middle Ages,1240,41,49,52,101512,5,History
Black Death,487,41,21,295,42455,3,History
Byzantine Empire,1804,57,91,335,110786,5,History
Crusades,1375,34,51,96,86181,4,History
Holy Roman Empire,1140,56,54,214,83180,2,History
Viking Age,1135,30,30,112,64021,3,History
Mongol Empire,904,49,53,112,70105,3,History
Ottoman Empire,1990,76,74,273,97763,3,History
Tang dynasty,1237,31,71,85,96527,5,History
Early modern period,1235,34,32,174,83144,2,History
Renaissance,1449,36,41,133,66791,4,History
Age of Discovery,2165,39,63,303,116856,2,History
European colonization of the Americas,717,21,28,72,48939,2,History
Western imperialism in Asia,536,21,80,61,70040,2,History
Spanish Empire,1383,37,59,184,101287,3,History
Reformation,1470,46,49,225,75387,2,History
Mughal Empire,1193,34,55,230,51582,2,History
Scientific Revolution,825,21,30,132,63227,3,History
Age of Enlightenment,1513,50,50,130,111562,2,History
Late modern period,1159,23,60,98,84509,2,History
British Empire,1264,28,37,208,70903,3,History
American Revolution,1903,43,52,249,114664,3,History
French Revolution,1447,29,59,213,93094,3,History
Industrial Revolution,1783,48,49,269,140033,2,History
Scramble for Africa,916,24,34,107,48532,2,History
World War I,1436,94,141,514,159434,3,History
Soviet Union,1746,101,153,434,103478,3,History
Great Depression,1316,42,35,304,89755,3,History
World War II,1474,124,78,349,85678,4,History
Decolonization,845,24,45,120,69857,2,History
Cold War,1881,40,93,415,117414,2,History
Green Revolution,417,31,16,177,42582,3,History
Information Age,718,14,17,87,26119,2,History
Geography,505,32,69,117,34282,2,Geography
Continent,1517,21,35,114,26504,2,Geography
Africa,2203,44,197,427,57071,2,Geography
Antarctica,1253,48,100,379,49758,5,Geography
Asia,2038,36,190,202,42791,2,Geography
Europe,2736,52,212,432,79865,2,Geography
North America,1993,41,142,313,51543,2,Geography
South America,2471,49,153,411,81545,2,Geography
Arctic,2003,34,36,99,18388,2,Geography
Caribbean,1990,32,111,96,41659,2,Geography
Middle East,944,43,91,122,27793,2,Geography
Oceania,2372,32,145,733,95958,2,Geography
Land,373,27,9,97,13153,1,Geography
Desert,578,21,37,205,58380,4,Geography
Sahara,721,41,40,165,52290,3,Geography
Forest,584,27,31,131,31721,2,Geography
Amazon rainforest,1454,36,54,275,29078,2,Geography
Grassland,422,17,15,117,25444,3,Geography
Island,342,20,18,111,10750,2,Geography
Mountain,279,16,21,93,16713,3,Geography
Alps,802,47,65,72,56735,2,Geography
Andes,1734,21,41,54,29243,2,Geography
Himalayas,2057,37,26,114,34134,3,Geography
Rocky Mountains,736,37,30,85,26282,3,Geography
Sea,1059,28,47,451,72500,5,Geography
Arctic Ocean,1983,43,37,151,28848,2,Geography
Atlantic Ocean,679,37,41,204,51426,2,Geography
Mediterranean Sea,1884,54,100,218,57598,2,Geography
Indian Ocean,1774,30,42,208,49389,2,Geography
Pacific Ocean,1570,35,45,146,28312,2,Geography
Great Barrier Reef,882,40,32,308,43458,2,Geography
Southern Ocean,1052,34,54,197,54509,3,Geography
Lake,463,33,30,142,41319,3,Geography
Caspian Sea,2117,73,37,172,38208,2,Geography
Great Lakes,507,39,30,184,51093,3,Geography
Lake Victoria,366,38,24,158,31626,3,Geography
River,420,25,29,36,23552,2,Geography
Amazon River,472,45,77,181,40236,2,Geography
Ganges,1216,42,40,210,63276,3,Geography
Mississippi River,1020,52,53,214,60168,2,Geography
Nile,990,59,47,150,41671,2,Geography
Yangtze,740,58,62,206,54729,3,Geography
Glacier,553,22,44,112,33735,3,Geography
Country,169,19,12,77,15583,1,Geography
Algeria,1140,79,82,377,71715,2,Geography
Democratic Republic of the Congo,890,62,76,446,75896,2,Geography
Egypt,1399,76,106,505,92183,2,Geography
Ethiopia,1268,78,97,568,128220,3,Geography
Kenya,1250,60,70,478,82946,3,Geography
Nigeria,1172,61,73,368,97906,3,Geography
South Africa,1511,64,96,461,74867,2,Geography
Tanzania,867,60,73,387,76717,3,Geography
Bangladesh,1771,71,123,652,123246,3,Geography
China,2261,89,122,837,101792,3,Geography
India,1622,72,111,567,72689,5,Geography
Indonesia,1184,73,110,490,61364,3,Geography
Iran,2310,88,133,712,108420,3,Geography
Israel,1528,88,131,799,108283,3,Geography
Japan,1416,60,118,394,52530,5,Geography
Malaysia,1358,58,94,466,59344,4,Geography
Myanmar,889,63,78,537,94057,3,Geography
Pakistan,1972,72,136,799,113519,3,Geography
Philippines,1408,106,86,913,66955,4,Geography
Saudi Arabia,1130,74,103,706,122379,3,Geography
South Korea,1372,83,139,582,101472,3,Geography
Taiwan,1201,68,79,611,108285,2,Geography
Thailand,1455,79,103,390,92921,2,Geography
United Arab Emirates,1256,67,92,501,84684,3,Geography
Vietnam,1534,58,79,591,89949,3,Geography
Russia,2002,66,77,935,80648,4,Geography
Turkey,1910,80,166,627,106716,3,Geography
France,2124,89,189,678,139225,3,Geography
Germany,1194,66,116,535,55174,5,Geography
Italy,2449,67,203,762,151824,3,Geography
Netherlands,1528,69,170,377,111133,3,Geography
Poland,1637,52,154,461,75180,3,Geography
Spain,1393,87,160,472,108053,3,Geography
Ukraine,1162,63,111,542,78983,3,Geography
United Kingdom,1941,74,84,861,113013,3,Geography
Canada,1468,59,55,629,72756,5,Geography
Mexico,1244,73,82,491,127351,3,Geography
United States,1728,64,62,733,78048,3,Geography
Australia,1148,58,55,498,58947,5,Geography
Argentina,1643,73,146,447,91388,3,Geography
Brazil,1443,66,111,537,86864,3,Geography
Colombia,1157,50,110,571,75687,2,Geography
City,1377,34,63,287,58810,3,Geography
Cairo,953,61,101,250,62751,2,Geography
Lagos,761,46,68,283,50138,3,Geography
Beijing,2334,57,273,477,83034,3,Geography
Hong Kong,1610,53,60,402,53419,4,Geography
Tokyo,1275,53,339,252,45018,3,Geography
Jakarta,1034,44,113,447,59494,3,Geography
Singapore,1374,63,82,742,85724,4,Geography
Delhi,1134,55,80,553,53049,4,Geography
Mumbai,1341,64,83,642,66369,4,Geography
Istanbul,1774,62,96,348,81358,3,Geography
Jerusalem,1773,93,105,565,90868,3,Geography
Mecca,1160,45,44,178,48024,3,Geography
London,2258,51,120,771,95372,4,Geography
Moscow,1305,92,124,330,102554,3,Geography
Paris,2246,63,271,631,108219,4,Geography
Rome,1698,81,161,337,96480,3,Geography
Mexico City,1389,56,145,271,91204,3,Geography
New York City,2994,72,132,801,124747,3,Geography
São Paulo,1885,48,152,391,90166,3,Geography
The arts,1055,23,33,83,21772,2,Arts
Art,519,30,36,256,57072,2,Arts
Prehistoric art,849,12,46,80,50775,2,Arts
Fashion,1548,31,26,104,54418,2,Arts
Museum,441,29,30,131,44326,2,Arts
Abstract art,267,29,31,42,22941,3,Arts
Modernism,2339,20,35,114,78982,2,Arts
Realism (arts),728,9,37,26,25653,2,Arts
Romanticism,1738,45,82,79,85474,2,Arts
Architecture,1053,23,73,73,30147,2,Arts
Great Pyramid of Giza,517,38,34,176,74858,3,Arts
Great Wall of China,436,33,50,84,23542,3,Arts
Literature,421,31,24,189,31746,2,Arts
English literature,1093,25,31,99,81070,2,Arts
Fiction,326,19,7,75,15568,2,Arts
Novel,852,29,24,77,51620,2,Arts
Short story,632,21,9,61,31143,2,Arts
Fairy tale,1231,24,22,101,53603,2,Arts
Poetry,1032,29,42,112,53688,3,Arts
Epic poetry,489,24,9,49,16042,2,Arts
Music,1052,56,54,146,83655,2,Arts
Musical instrument,681,16,25,58,47860,4,Arts
Piano,446,38,49,90,60905,2,Arts
Singing,315,23,13,79,37948,3,Arts
Classical music,1699,26,29,132,44148,2,Arts
Folk music,859,24,24,362,62109,2,Arts
Jazz,927,40,57,168,96577,3,Arts
Pop music,551,21,12,57,16205,2,Arts
Rock music,1584,35,50,222,91417,2,Arts
Performing arts,253,18,18,40,23677,2,Arts
Dance,433,17,56,53,29830,2,Arts
Opera,873,28,42,80,67784,3,Arts
Orchestra,382,28,9,40,41088,2,Arts
Theatre,580,25,34,58,38357,2,Arts
Visual arts,382,19,22,58,20596,2,Arts
Film,882,35,24,87,48538,2,Arts
Animation,879,13,20,67,36516,2,Arts
Calligraphy,679,58,39,51,28036,2,Arts
Comics,388,24,30,120,25100,4,Arts
Design,389,16,9,87,12243,2,Arts
Drawing,302,17,18,50,24158,2,Arts
Painting,742,24,35,125,40542,2,Arts
Photography,527,27,38,107,45003,3,Arts
Pottery,533,14,37,88,49525,2,Arts
Sculpture,1321,24,293,57,93678,3,Arts
Philosophy,917,33,34,345,46121,2,Philosophy and religion
Philosophy of science,928,30,23,169,49532,4,Philosophy and religion
Aesthetics,679,25,14,132,31549,2,Philosophy and religion
Epistemology,940,38,23,175,59761,2,Philosophy and religion
Knowledge,809,21,17,190,43380,2,Philosophy and religion
Belief,1811,34,17,179,54795,2,Philosophy and religion
Reason,710,41,12,98,53820,3,Philosophy and religion
Truth,990,34,10,77,53389,3,Philosophy and religion
Ethics,740,36,19,184,67035,2,Philosophy and religion
Good and evil,552,44,17,52,47791,2,Philosophy and religion
Logic,701,26,16,304,57218,3,Philosophy and religion
Metaphysics,976,36,18,123,57869,2,Philosophy and religion
Free will,819,27,16,354,104137,3,Philosophy and religion
Ontology,411,30,9,209,64969,2,Philosophy and religion
Eastern philosophy,1231,29,21,74,38800,2,Philosophy and religion
Confucianism,1747,37,33,123,66840,2,Philosophy and religion
Western philosophy,979,10,31,42,54990,2,Philosophy and religion
Myth,345,26,15,93,28398,3,Philosophy and religion
Greek mythology,1591,22,37,87,52472,3,Philosophy and religion
Religion,1875,31,34,290,61625,2,Philosophy and religion
Afterlife,1639,27,21,163,66120,2,Philosophy and religion
Deity,603,25,43,257,39466,2,Philosophy and religion
God,1101,26,30,89,35533,3,Philosophy and religion
Meditation,1051,31,26,266,48047,3,Philosophy and religion
New religious movement,928,10,13,73,27429,2,Philosophy and religion
Prayer,1203,36,22,143,50010,3,Philosophy and religion
Ritual,943,12,20,65,41964,2,Philosophy and religion
Shamanism,1514,32,19,117,37463,3,Philosophy and religion
Soul,1253,40,15,157,45247,3,Philosophy and religion
Spirituality,1182,42,11,186,40075,2,Philosophy and religion
Secularism,440,16,7,45,18575,2,Philosophy and religion
Atheism,1776,41,28,427,62017,5,Philosophy and religion
Christianity,2199,54,80,461,95592,3,Philosophy and religion
Bible,1818,40,55,261,81756,2,Philosophy and religion
Catholic Church,3662,60,64,410,96623,4,Philosophy and religion
Eastern Orthodox Church,1985,42,58,280,83070,2,Philosophy and religion
Protestantism,1951,39,103,327,108438,3,Philosophy and religion
Islam,1760,35,59,374,66376,3,Philosophy and religion
Shia Islam,1951,28,39,250,56772,3,Philosophy and religion
Sunni Islam,1676,15,19,121,72266,2,Philosophy and religion
Quran,1193,56,49,203,63822,3,Philosophy and religion
Judaism,1367,46,59,200,95313,3,Philosophy and religion
Talmud,805,37,29,184,78377,3,Philosophy and religion
Chinese folk religion,1157,22,53,151,85492,2,Philosophy and religion
Shinto,1202,27,40,59,75016,3,Philosophy and religion
Taoism,1477,32,31,104,35722,4,Philosophy and religion
Buddhism,1772,41,93,305,119188,3,Philosophy and religion
Mahayana,1376,24,46,69,75539,3,Philosophy and religion
Theravada,1412,29,43,84,81019,3,Philosophy and religion
Hinduism,1885,49,90,610,79134,3,Philosophy and religion
Vedas,621,27,23,125,42923,3,Philosophy and religion
Bhagavad Gita,1245,49,55,220,90820,3,Philosophy and religion
Jainism,1458,27,61,223,55745,4,Philosophy and religion
Sikhism,1201,35,36,206,70079,3,Philosophy and religion
Traditional African religions,961,11,14,64,21294,3,Philosophy and religion
Clothing,811,21,40,131,33720,2,Everyday life
Home,504,22,26,108,14715,2,Everyday life
Furniture,474,33,98,51,24822,2,Everyday life
Jewellery,1262,21,79,55,56426,3,Everyday life
Ethnic group,522,26,14,150,41809,2,Everyday life
Family,597,31,32,344,52398,2,Everyday life
Adult,298,14,4,74,19315,2,Everyday life
Adolescence,301,29,27,323,93538,3,Everyday life
Child,387,25,29,128,25339,2,Everyday life
Infant,270,20,27,82,19446,3,Everyday life
Marriage,1409,52,53,435,116980,2,Everyday life
Old age,249,24,19,211,45179,3,Everyday life
Parenting,294,23,13,189,36726,2,Everyday life
Friendship,187,23,15,98,18432,1,Everyday life
Human sexuality,915,27,13,326,66733,3,Everyday life
Sexual intercourse,798,24,20,312,58476,3,Everyday life
Sexual orientation,520,22,11,326,62157,3,Everyday life
Gender,591,29,20,332,71065,2,Everyday life
Man,292,23,13,97,12340,1,Everyday life
Woman,1251,33,32,199,35041,2,Everyday life
Cooking,1167,19,25,103,21667,2,Everyday life
Food,1746,28,55,327,42724,2,Everyday life
Bread,792,27,33,94,23267,2,Everyday life
Cereal,622,19,14,77,15157,2,Everyday life
Wheat,643,41,48,342,49930,3,Everyday life
Maize,924,45,59,300,59331,3,Everyday life
Rice,1509,32,52,320,47871,3,Everyday life
Cheese,643,49,79,141,30756,2,Everyday life
Fruit,816,19,31,88,22677,2,Everyday life
Meat,743,30,40,442,53226,3,Everyday life
Salt,854,27,30,187,27247,4,Everyday life
Spice,948,18,27,43,13043,2,Everyday life
Sugar,915,24,39,192,38621,4,Everyday life
Vegetable,614,17,44,55,19405,4,Everyday life
Potato,656,42,43,240,47206,3,Everyday life
Soybean,1122,52,37,335,51044,3,Everyday life
Drink,468,18,23,110,25575,2,Everyday life
Alcoholic beverage,1229,22,24,64,19485,2,Everyday life
Coffee,634,40,45,297,55454,3,Everyday life
Drinking water,301,13,19,135,23074,3,Everyday life
Milk,612,25,82,313,57859,3,Everyday life
Tea,467,30,46,174,36522,3,Everyday life
Entertainment,784,16,117,65,73536,4,Everyday life
Play (activity),284,21,16,97,40784,2,Everyday life
Game,309,23,20,43,29463,2,Everyday life
Board game,264,31,25,146,21397,2,Everyday life
Card game,436,23,12,25,32404,2,Everyday life
Gambling,278,24,20,77,22647,2,Everyday life
Video game,841,24,34,258,66454,3,Everyday life
Sport,327,36,30,140,26102,2,Everyday life
Association football,984,42,49,240,41431,2,Everyday life
Sport of athletics,926,22,23,144,40850,3,Everyday life
Olympic Games,2449,41,81,401,79229,5,Everyday life
Toy,281,36,26,112,37680,2,Everyday life
Martial arts,425,29,17,52,26988,3,Everyday life
Swimming,329,16,17,63,25632,3,Everyday life
Tourism,1426,39,58,223,42167,2,Everyday life
Culture,505,32,34,144,36428,2,Society and social sciences
Folklore,619,15,23,84,45802,2,Society and social sciences
Festival,281,20,30,95,11547,1,Society and social sciences
Oral tradition,253,20,6,123,36450,3,Society and social sciences
Popular culture,601,28,9,52,21362,2,Society and social sciences
Society,535,20,18,117,23914,2,Society and social sciences
Community,164,26,12,38,19738,1,Society and social sciences
Power (social and political),662,41,10,77,40973,2,Society and social sciences
Social class,347,40,16,152,29623,2,Society and social sciences
Communication,802,29,20,136,45923,2,Society and social sciences
Social science,673,29,23,90,50766,2,Society and social sciences
Anthropology,919,32,20,190,55386,2,Society and social sciences
Sociology,833,29,29,211,87750,4,Society and social sciences
Politics,667,27,28,138,36301,2,Society and social sciences
Political party,606,19,75,301,43345,4,Society and social sciences
Political science,275,21,17,127,24193,2,Society and social sciences
Colonialism,1093,31,67,236,71451,2,Society and social sciences
Imperialism,1127,37,38,157,68961,2,Society and social sciences
Government,787,30,24,53,15854,1,Society and social sciences
Democracy,1511,47,29,320,89684,2,Society and social sciences
Dictatorship,481,15,17,285,49145,3,Society and social sciences
Monarchy,1075,28,23,52,35369,3,Society and social sciences
Ideology,955,30,9,79,26648,2,Society and social sciences
Anarchism,1612,30,31,155,45869,4,Society and social sciences
Capitalism,1607,60,31,258,50612,2,Society and social sciences
Communism,1315,61,23,351,85696,2,Society and social sciences
Conservatism,1528,31,20,244,68761,2,Society and social sciences
Fascism,1517,52,30,175,90244,3,Society and social sciences
Liberalism,1590,36,34,132,66882,3,Society and social sciences
Nationalism,946,28,31,248,91336,2,Society and social sciences
Socialism,2336,66,46,464,120918,2,Society and social sciences
State (polity),422,25,7,259,44090,2,Society and social sciences
Diplomacy,427,25,24,76,39266,2,Society and social sciences
Military,545,36,49,64,32863,2,Society and social sciences
European Union,1721,82,138,443,85357,3,Society and social sciences
International Red Cross and Red Crescent Movement,785,37,262,77,57406,3,Society and social sciences
NATO,1295,93,104,373,42010,4,Society and social sciences
United Nations,817,63,86,359,57445,4,Society and social sciences
War,532,44,40,217,37636,3,Society and social sciences
Genocide,529,39,20,195,48882,3,Society and social sciences
Peace,757,21,29,91,37232,2,Society and social sciences
Terrorism,810,38,38,269,58439,2,Society and social sciences
Education,1698,45,44,516,71198,2,Society and social sciences
